id,role,appointment_date,cessation_date,business_id,party_id,transaction_id,end_transaction_id,operation_type
11244,director,2020-09-30 00:00:00+00,,3273,10604,137834,,0
11245,director,2020-09-30 00:00:00+00,,3273,10605,137834,,0
8436,director,2018-10-25 00:00:00+00,2020-09-30 00:00:00+00,3273,8096,137834,,1
8433,director,2018-10-19 00:00:00+00,,3273,8093,124705,,0
8434,director,2018-10-25 00:00:00+00,,3273,8094,124705,,0
8435,director,2018-10-19 00:00:00+00,,3273,8095,124705,,0
8437,director,2018-10-19 00:00:00+00,,3273,8097,124705,,0
8436,director,2018-10-25 00:00:00+00,,3273,8096,124705,137834,0
