corp-num, corp-typ-cd
CP0000019, CP
CP0000036, CP
CP0000088, CP
CP0000193, CP
CP0000204, CP
CP0000263, CP
CP0000320, CP
CP0000352, CP
CP0000393, CP
CP0000482, CP
CP0000483, CP
CP0000487, CP
CP0000488, CP
CP0000489, CP
CP0000507, CP
CP0000527, CP
CP0000545, CP
CP0000621, CP
CP0000651, CP
CP0000667, CP
CP0000672, CP
CP0000710, CP
CP0000718, CP
CP0000719, CP
CP0000720, CP
CP0000726, CP
CP0000759, CP
CP0000769, CP
CP0000783, CP
CP0000804, CP
CP0000821, CP
CP0000831, CP
CP0000834, CP
CP0000841, CP
CP0000848, CP
CP0000852, CP
CP0000853, CP
CP0000864, CP
CP0000866, CP
CP0000867, CP
CP0000873, CP
CP0000897, CP
CP0000901, CP
CP0000912, CP
CP0000918, CP
CP0000919, CP
CP0000920, CP
CP0000923, CP
CP0000930, CP
CP0000931, CP
CP0000932, CP
CP0000938, CP
CP0000941, CP
CP0000946, CP
CP0000947, CP
CP0000959, CP
CP0000964, CP
CP0000969, CP
CP0000972, CP
CP0000973, CP
CP0000976, CP
CP0000977, CP
CP0000985, CP
CP0000987, CP
CP0000988, CP
CP0000992, CP
CP0001004, CP
CP0001008, CP
CP0001009, CP
CP0001011, CP
CP0001012, CP
CP0001018, CP
CP0001021, CP
CP0001024, CP
CP0001041, CP
CP0001044, CP
CP0001052, CP
CP0001054, CP
CP0001059, CP
CP0001062, CP
CP0001092, CP
CP0001104, CP
CP0001107, CP
CP0001110, CP
CP0001111, CP
CP0001115, CP
CP0001116, CP
CP0001123, CP
CP0001136, CP
CP0001137, CP
CP0001138, CP
CP0001141, CP
CP0001148, CP
CP0001150, CP
CP0001159, CP
CP0001164, CP
CP0001171, CP
CP0001173, CP
CP0001182, CP
CP0001184, CP
CP0001185, CP
CP0001186, CP
CP0001187, CP
CP0001188, CP
CP0001191, CP
CP0001197, CP
CP0001199, CP
CP0001201, CP
CP0001202, CP
CP0001203, CP
CP0001205, CP
CP0001206, CP
CP0001208, CP
CP0001216, CP
CP0001218, CP
CP0001219, CP
CP0001221, CP
CP0001224, CP
CP0001225, CP
CP0001227, CP
CP0001229, CP
CP0001230, CP
CP0001232, CP
CP0001240, CP
CP0001242, CP
CP0001243, CP
CP0001244, CP
CP0001245, CP
CP0001248, CP
CP0001250, CP
CP0001252, CP
CP0001254, CP
CP0001257, CP
CP0001260, CP
CP0001262, CP
CP0001263, CP
CP0001264, CP
CP0001267, CP
CP0001269, CP
CP0001271, CP
CP0001272, CP
CP0001278, CP
CP0001282, CP
CP0001283, CP
CP0001284, CP
CP0001285, CP
CP0001286, CP
CP0001288, CP
CP0001289, CP
CP0001291, CP
CP0001295, CP
CP0001296, CP
CP0001298, CP
CP0001299, CP
CP0001300, CP
CP0001303, CP
CP0001304, CP
CP0001305, CP
CP0001306, CP
CP0001308, CP
CP0001309, CP
CP0001311, CP
CP0001316, CP
CP0001319, CP
CP0001320, CP
CP0001321, CP
CP0001322, CP
CP0001324, CP
CP0001326, CP
CP0001327, CP
CP0001329, CP
CP0001330, CP
CP0001331, CP
CP0001333, CP
CP0001337, CP
CP0001340, CP
CP0001342, CP
CP0001348, CP
CP0001352, CP
CP0001353, CP
CP0001354, CP
CP0001356, CP
CP0001357, CP
CP0001360, CP
CP0001362, CP
CP0001364, CP
CP0001366, CP
CP0001367, CP
CP0001368, CP
CP0001370, CP
CP0001373, CP
CP0001374, CP
CP0001375, CP
CP0001378, CP
CP0001379, CP
CP0001382, CP
CP0001383, CP
CP0001389, CP
CP0001390, CP
CP0001391, CP
CP0001392, CP
CP0001395, CP
CP0001397, CP
CP0001399, CP
CP0001400, CP
CP0001403, CP
CP0001405, CP
CP0001406, CP
CP0001410, CP
CP0001413, CP
CP0001416, CP
CP0001417, CP
CP0001418, CP
CP0001419, CP
CP0001421, CP
CP0001426, CP
CP0001428, CP
CP0001430, CP
CP0001431, CP
CP0001435, CP
CP0001437, CP
CP0001439, CP
CP0001441, CP
CP0001443, CP
CP0001446, CP
CP0001448, CP
CP0001451, CP
CP0001454, CP
CP0001460, CP
CP0001462, CP
CP0001463, CP
CP0001465, CP
CP0001466, CP
CP0001468, CP
CP0001475, CP
CP0001476, CP
CP0001477, CP
CP0001478, CP
CP0001479, CP
CP0001480, CP
CP0001481, CP
CP0001482, CP
CP0001483, CP
CP0001484, CP
CP0001486, CP
CP0001488, CP
CP0001489, CP
CP0001491, CP
CP0001493, CP
CP0001494, CP
CP0001495, CP
CP0001496, CP
CP0001497, CP
CP0001500, CP
CP0001501, CP
CP0001502, CP
CP0001503, CP
CP0001505, CP
CP0001510, CP
CP0001513, CP
CP0001515, CP
CP0001520, CP
CP0001522, CP
CP0001523, CP
CP0001525, CP
CP0001526, CP
CP0001527, CP
CP0001528, CP
CP0001531, CP
CP0001532, CP
CP0001533, CP
CP0001536, CP
CP0001537, CP
CP0001538, CP
CP0001540, CP
CP0001543, CP
CP0001547, CP
CP0001550, CP
CP0001551, CP
CP0001552, CP
CP0001553, CP
CP0001555, CP
CP0001556, CP
CP0001557, CP
CP0001558, CP
CP0001559, CP
CP0001560, CP
CP0001562, CP
CP0001563, CP
CP0001567, CP
CP0001568, CP
CP0001570, CP
CP0001571, CP
CP0001572, CP
CP0001574, CP
CP0001575, CP
CP0001576, CP
CP0001577, CP
CP0001578, CP
CP0001579, CP
CP0001583, CP
CP0001586, CP
CP0001587, CP
CP0001589, CP
CP0001591, CP
CP0001592, CP
CP0001594, CP
CP0001595, CP
CP0001596, CP
CP0001597, CP
CP0001598, CP
CP0001599, CP
CP0001600, CP
CP0001603, CP
CP0001608, CP
CP0001612, CP
CP0001618, CP
CP0001622, CP
CP0001623, CP
CP0001625, CP
CP0001626, CP
CP0001628, CP
CP0001631, CP
CP0001636, CP
CP0001643, CP
CP0001645, CP
CP0001648, CP
CP0001651, CP
CP0001652, CP
CP0001653, CP
CP0001655, CP
CP0001657, CP
CP0001672, CP
CP0001674, CP
CP0001675, CP
CP0001676, CP
CP0001680, CP
CP0001683, CP
CP0001686, CP
CP0001687, CP
CP0001692, CP
CP0001695, CP
CP0001696, CP
CP0001700, CP
CP0001701, CP
CP0001702, CP
CP0001703, CP
CP0001712, CP
CP0001714, CP
CP0001721, CP
CP0001722, CP
CP0001725, CP
CP0001733, CP
CP0001734, CP
CP0001746, CP
CP0001754, CP
CP0001755, CP
CP0001764, CP
CP0001766, CP
CP0001773, CP
CP0001774, CP
CP0001777, CP
CP0001780, CP
CP0001790, CP
CP0001792, CP
CP0001793, CP
CP0001797, CP
CP0001799, CP
CP0001804, CP
CP0001812, CP
CP0001817, CP
CP0001819, CP
CP0001824, CP
CP0001827, CP
CP0001830, CP
CP0001832, CP
CP0001840, CP
CP0001845, CP
CP0001847, CP
CP0001867, CP
CP0001870, CP
CP0001897, CP
