id,role,appointment_date,cessation_date,business_id,party_id,transaction_id,end_transaction_id,operation_type
8898,director,2018-11-01 00:00:00+00,,3338,8558,129199,,0
8899,director,2017-05-25 00:00:00+00,,3338,8559,129199,,0
8900,director,2018-09-06 00:00:00+00,,3338,8560,129199,,0
8901,director,2019-02-26 00:00:00+00,,3338,8561,129199,,0
8902,director,2019-02-26 00:00:00+00,,3338,8562,129199,,0
8903,director,2019-02-26 00:00:00+00,,3338,8563,129199,,0
8904,director,2017-05-25 00:00:00+00,,3338,8564,129199,,0
