id,address_type,street,street_additional,city,region,country,postal_code,delivery_instructions,business_id,transaction_id,end_transaction_id,operation_type,office_id
31116,mailing,40 - 736 CLARKE ROAD,"",COQUITLAM,BC,CA,V3J 3Y1,"",,129199,,0,3432
31117,delivery,40 - 736 CLARKE ROAD,"",COQUITLAM,BC,CA,V3J 3Y1,"",,129199,,0,3432
