id,role,appointment_date,cessation_date,business_id,party_id,transaction_id,end_transaction_id,operation_type
8905,director,2019-02-13 00:00:00+00,,3339,8565,129296,,0
8906,director,2018-01-16 00:00:00+00,,3339,8566,129296,,0
8907,director,2019-02-13 00:00:00+00,,3339,8567,129296,,0
8908,director,2019-02-13 00:00:00+00,,3339,8568,129296,,0
8909,director,2018-02-23 00:00:00+00,,3339,8569,129296,,0
8910,director,2019-02-13 00:00:00+00,,3339,8570,129296,,0
8911,director,2018-02-23 00:00:00+00,,3339,8571,129296,,0
