id,role,appointment_date,cessation_date,business_id,party_id,transaction_id,end_transaction_id,operation_type
8854,director,2018-12-04 00:00:00+00,,3332,8514,128773,,0
8855,director,2018-12-04 00:00:00+00,,3332,8515,128773,,0
8856,director,2018-12-04 00:00:00+00,,3332,8516,128773,,0
8857,director,2018-12-04 00:00:00+00,,3332,8517,128773,,0
8858,director,2018-12-04 00:00:00+00,,3332,8518,128773,,0
8859,director,2018-12-04 00:00:00+00,,3332,8519,128773,,0
8860,director,2018-12-04 00:00:00+00,,3332,8520,128773,,0
