id,role,appointment_date,cessation_date,business_id,party_id,transaction_id,end_transaction_id,operation_type
8861,director,2018-09-06 00:00:00+00,,3333,8521,128832,,0
8862,director,2017-03-23 00:00:00+00,,3333,8522,128832,,0
8863,director,2019-02-08 00:00:00+00,,3333,8523,128832,,0
8864,director,2018-09-06 00:00:00+00,,3333,8524,128832,,0
8865,director,2018-09-06 00:00:00+00,,3333,8525,128832,,0
8866,director,2019-02-08 00:00:00+00,,3333,8526,128832,,0
8867,director,2017-03-23 00:00:00+00,,3333,8527,128832,,0
8868,director,2019-02-08 00:00:00+00,,3333,8528,128832,,0
8869,director,2018-03-21 00:00:00+00,,3333,8529,128832,,0
