id,address_type,street,street_additional,city,region,country,postal_code,delivery_instructions,business_id,transaction_id,end_transaction_id,operation_type,office_id
31034,delivery,01 - 7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31035,mailing,01 - 7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31036,delivery,14-7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31037,mailing,14-7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31038,delivery,20-7460 MOFFATT RD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31039,mailing,20-7460 MOFFATT RD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31040,delivery,06 - 7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31041,mailing,06 - 7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31042,delivery,209 - 7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31043,mailing,209 - 7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31044,delivery,4-7460 MOFFATT RD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31045,mailing,4-7460 MOFFATT RD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31046,delivery,10-7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31047,mailing,10-7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31048,delivery,23-7460 MOFFATT RD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31049,mailing,23-7460 MOFFATT RD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31050,delivery,08-7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
31051,mailing,08-7460 MOFFATT ROAD,"",RICHMOND,BC,CA,V6Y3S1,"",,128832,,0,
