id,address_type,street,street_additional,city,region,country,postal_code,delivery_instructions,business_id,transaction_id,end_transaction_id,operation_type,office_id
26954,mailing,BOX 108,"",SOINTULA,BC,CA,V0N 3E0,"",,112908,,0,3179
26955,delivery,175 1ST STREET,"",SOINTULA,BC,CA,V0N 3E0,"",,112908,,0,3179
